[2024-12-29 19:03:58.586] [basic_trace_logger] [info] ****************** Backtrace Start ******************
[2024-12-29 19:03:52.122] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:53.107] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:03:53.108] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:03:53.217] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:54.091] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:03:54.091] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:03:54.200] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:55.077] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:03:55.077] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:03:55.185] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:56.048] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:03:56.048] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:03:56.158] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:57.024] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:03:57.024] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:03:57.133] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:58.018] [basic_trace_logger] [trace] 更新世界市场各数据库 ms 9
[2024-12-29 19:03:58.018] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:03:58.118] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:03:58.228] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:03:58.586] [basic_trace_logger] [info] ****************** Backtrace End ********************
[2024-12-29 19:05:16.067] [basic_trace_logger] [info] ****************** Backtrace Start ******************
[2024-12-29 19:05:11.154] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:05:11.262] [basic_trace_logger] [trace] 中国市场装载本日临时存储的实时数据 ms 0
[2024-12-29 19:05:12.022] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:05:12.022] [basic_trace_logger] [trace] 中国市场系统初始化检查 ms 0
[2024-12-29 19:05:12.131] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:05:12.131] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:05:12.240] [basic_trace_logger] [trace] 中国市场装载本日临时存储的实时数据 ms 0
[2024-12-29 19:05:13.107] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:05:13.108] [basic_trace_logger] [trace] 中国市场系统初始化检查 ms 0
[2024-12-29 19:05:13.214] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:05:13.214] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:05:13.323] [basic_trace_logger] [trace] 中国市场装载本日临时存储的实时数据 ms 0
[2024-12-29 19:05:14.084] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:05:14.085] [basic_trace_logger] [trace] 中国市场系统初始化检查 ms 0
[2024-12-29 19:05:14.193] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:05:14.193] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:05:14.303] [basic_trace_logger] [trace] 中国市场装载本日临时存储的实时数据 ms 0
[2024-12-29 19:05:15.067] [basic_trace_logger] [trace] 世界市场处理WebSocket数据 ms 0
[2024-12-29 19:05:15.067] [basic_trace_logger] [trace] 中国市场分配并处理实时数据 ms 0
[2024-12-29 19:05:15.176] [basic_trace_logger] [trace] 世界市场系统初始化检查 ms 0
[2024-12-29 19:05:16.067] [basic_trace_logger] [info] ****************** Backtrace End ********************
